country,status,item type,application,selling_price,duration,log_quantity,log_thickness,log_width
28,1,0,10.0,854.0,91,3.9917790003727465,0.6931471805599453,7.313220387090301
38,1,1,10.0,1363.0,91,4.2351473077012844,-0.5108256237659907,7.150701457592526
78,1,0,10.0,1098.0,91,3.3146420722942396,-0.2876820724517809,7.1308988302963465
27,1,1,10.0,973.0,91,3.473062649022937,-0.5108256237659907,6.917705609835305
30,1,0,10.0,1315.19,91,3.0352949253549735,-0.7985076962177716,6.802394763324311
32,1,1,15.0,1037.0,91,3.3676728868226444,1.0986122886681098,6.907755278982137
77,1,1,4.0,1074.0,61,3.9638158929082823,-0.2231435513142097,7.170119543449628
77,1,1,4.0,1048.0,61,4.040088161114003,0.09531017980432493,7.170119543449628
25,1,0,10.0,1336.0,91,3.906096588861824,-0.3285040669720361,7.0967213784947605
77,1,1,4.0,1065.0,61,3.2784162363645155,-0.2231435513142097,7.170119543449628
78,1,1,59.0,852.0,30,4.889477426595752,0.5877866649021191,6.802394763324311
78,1,1,59.0,846.0,30,3.4307545538052837,1.0986122886681098,6.684611727667927
28,1,0,38.0,1375.0,122,4.136364109469761,-0.5978370007556204,6.912742820493176
78,1,1,59.0,840.0,30,3.6343479114659494,1.0986122886681098,6.802394763324311
28,1,0,38.0,1294.0,122,3.7724715985388366,-0.5108256237659907,7.1308988302963465
78,1,1,59.0,835.0,30,6.0521507738503235,0.9162907318741551,6.802394763324311
78,1,1,59.0,832.0,30,6.727836252838734,1.0986122886681098,6.802394763324311
78,1,1,59.0,827.0,30,4.578749755364463,1.3862943611198906,6.802394763324311
78,1,1,59.0,837.0,30,4.4994463252173125,0.6931471805599453,6.802394763324311
28,1,1,10.0,927.0,91,4.0668179081564055,-0.5108256237659907,6.818924065275521
113,1,1,41.0,1333.0,91,5.084364603995046,-0.6931471805599453,7.1308988302963465
113,1,1,41.0,1335.0,91,5.3953066839931845,-0.6931471805599453,7.1308988302963465
32,1,1,59.0,942.0,91,3.3039294293713133,0.26236426446749106,7.236339342754344
28,1,0,10.0,972.0,122,4.008329558869176,-0.2231435513142097,7.1308988302963465
78,1,1,10.0,829.0,61,3.5117940124116602,2.5649493574615367,7.402451520818244
77,1,1,56.0,1109.0,91,3.481924186672357,0.14842000511827322,7.1929342212158
78,1,1,10.0,1038.0,91,3.5140762384305178,1.0986122886681098,6.802394763324311
78,1,1,10.0,1037.0,91,3.2404818689519077,1.3862943611198906,6.802394763324311
77,1,1,42.0,1082.0,153,3.280220649582139,0.3364722366212129,7.1308988302963465
78,1,1,10.0,1043.0,91,3.334423732307736,1.8484548129046001,6.802394763324311
77,1,1,42.0,1055.0,153,3.4487793502253825,0.8754687373538999,7.011213987350367
78,1,1,10.0,1038.0,91,3.454199100328193,1.9459101490553132,6.802394763324311
77,1,1,42.0,1072.0,153,5.994460015708916,0.3364722366212129,7.1308988302963465
78,1,1,10.0,1047.0,91,3.2831080633560297,2.302585092994046,6.802394763324311
77,1,1,42.0,1070.0,153,5.996217798986294,0.6418538861723947,7.1308988302963465
78,1,1,10.0,1049.0,91,3.5056822594610253,2.4849066497880004,6.802394763324311
77,1,1,42.0,1093.0,153,4.0380959670774565,-0.5108256237659907,7.114769448366463
78,1,1,10.0,1064.0,91,3.975747122653859,2.70805020110221,6.802394763324311
77,1,1,42.0,1098.0,153,3.9271979353527944,-0.5108256237659907,7.1308988302963465
28,1,0,10.0,1043.0,122,4.028252421509065,-0.35667494393873245,7.313220387090301
78,1,1,10.0,1037.0,91,4.08962544786377,1.0986122886681098,7.003065458786462
26,1,0,41.0,1089.0,91,5.3054034404198624,0.14842000511827322,7.174724309836376
77,1,1,42.0,1067.0,153,3.3420133925525892,0.5306282510621704,7.1308988302963465
27,1,1,59.0,989.0,122,3.458211447139936,-0.5108256237659907,6.907755278982137
78,1,1,10.0,1031.0,91,4.058494741488389,1.3862943611198906,7.003065458786462
27,1,1,59.0,974.0,122,3.306179831537589,-0.5108256237659907,7.1308988302963465
77,1,1,42.0,1071.0,153,3.192621381044147,0.22314355131420976,7.1308988302963465
27,1,1,59.0,968.0,122,3.003323160235343,-0.5108256237659907,7.313220387090301
78,1,1,10.0,1036.0,91,3.9927313959164743,1.8484548129046001,7.003065458786462
78,1,0,10.0,1139.0,153,6.314514136526811,0.0,7.1308988302963465
77,1,1,42.0,1077.0,153,3.4574551165310656,0.8754687373538999,7.011213987350367
78,1,0,10.0,1140.0,153,5.617447218499904,0.0,7.313220387090301
78,1,1,10.0,1041.0,91,4.059196579936495,1.9459101490553132,7.003065458786462
78,1,0,10.0,1098.0,153,6.307940504630143,0.6931471805599453,7.1308988302963465
77,1,1,42.0,1105.0,153,3.277359987559099,0.883767540168595,7.138866999945524
78,1,0,10.0,1101.0,153,5.641286049420759,0.6931471805599453,7.313220387090301
78,1,1,10.0,1037.0,91,4.088881242934263,2.0794415416798357,7.003065458786462
77,1,1,56.0,1108.0,91,3.529681373899132,0.1823215567939546,7.1929342212158
77,1,1,42.0,1075.0,153,3.3454237525650776,0.6931471805599453,6.866933284461882
77,1,1,56.0,1190.0,91,3.5476574253562476,-0.35667494393873245,7.438383530044307
78,1,1,10.0,1045.0,91,4.082987726804963,2.302585092994046,7.003065458786462
77,1,1,56.0,1153.0,91,3.686058228446669,-0.10536051565782628,7.438383530044307
77,1,1,42.0,1080.0,153,3.189917631740887,0.8754687373538999,6.917705609835305
77,1,1,56.0,1143.0,91,3.6251019928967807,0.09531017980432493,7.438383530044307
78,1,1,10.0,1045.0,91,3.9519687153231504,2.4849066497880004,7.003065458786462
39,1,0,56.0,1094.0,122,3.544814604334003,0.0,7.122866658599083
77,1,1,42.0,1105.0,153,3.208391264651935,0.6523251860396901,7.1308988302963465
39,1,0,56.0,1096.0,122,3.3759472298506736,0.1823215567939546,7.1308988302963465
78,1,1,10.0,1048.0,91,4.038324880603974,2.70805020110221,7.003065458786462
39,1,0,56.0,1080.0,122,4.031107864633313,0.0,6.956545443151569
77,1,1,42.0,1073.0,153,3.402688816253793,0.6418538861723947,7.1308988302963465
39,1,0,56.0,1084.0,122,4.076922529121658,0.0,6.993932975223189
78,1,1,10.0,1033.0,91,4.00926630918015,1.0986122886681098,7.313220387090301
39,1,0,56.0,1100.0,122,3.302265188881181,0.0,7.247792581767846
78,1,0,10.0,1164.0,91,1.8631974294034146,0.0,6.684611727667927
39,1,0,56.0,1117.0,122,4.916982043160154,0.0,6.956545443151569
78,1,1,10.0,1035.0,91,3.9416006274925963,1.3862943611198906,7.313220387090301
39,1,0,56.0,1118.0,122,4.52838653539733,0.0,7.122866658599083
78,1,0,10.0,1126.0,91,1.729562608351697,0.0,6.907755278982137
39,1,0,56.0,1142.0,122,3.288439103988449,0.0,7.134890851565884
78,1,1,10.0,1032.0,91,3.9150214079232,1.8484548129046001,7.313220387090301
39,1,0,56.0,1102.0,122,3.0775043190605222,0.4054651081081644,7.1308988302963465
78,1,0,10.0,1113.0,91,2.4160324971465448,0.4054651081081644,6.907755278982137
39,1,0,56.0,1125.0,122,3.0838730586471157,0.1823215567939546,6.956545443151569
78,1,1,10.0,1042.0,91,3.9420141378908315,1.9459101490553132,7.313220387090301
39,1,0,56.0,1118.0,122,3.7508599650030714,0.1823215567939546,6.961296045910167
78,0,0,10.0,1253.0,91,2.1654803774774707,0.0,7.313220387090301
39,1,0,56.0,1121.0,122,3.2495816645446896,0.1823215567939546,7.051855622955894
78,1,1,10.0,1037.0,91,3.516819585735957,2.0794415416798357,7.313220387090301
77,0,1,10.0,1225.0,122,3.677654510244118,0.0,7.313220387090301
78,0,0,10.0,1186.0,91,2.438387745977886,1.3862943611198906,7.313220387090301
77,0,1,10.0,1249.0,122,3.6284797044337425,-0.2231435513142097,7.1308988302963465
78,1,1,10.0,1047.0,91,3.4225379215159797,2.4849066497880004,7.313220387090301
78,1,0,10.0,1041.0,122,5.39709415208907,1.0986122886681098,7.313220387090301
78,0,0,10.0,1284.0,91,2.3313281975961644,-0.2231435513142097,7.313220387090301
32,1,1,41.0,1222.0,183,3.952821044141463,0.6931471805599453,7.247792581767846
78,1,1,10.0,1048.0,91,3.4172325707400315,2.70805020110221,7.313220387090301
32,1,1,41.0,1276.0,183,4.071983185156052,0.1823215567939546,6.956545443151569
78,0,0,10.0,1184.0,91,1.6283374399014992,1.0986122886681098,7.313220387090301
32,1,1,41.0,1294.0,183,3.9189862282238517,-0.10536051565782628,6.937314081223682
78,1,1,10.0,1035.0,91,3.250553304234272,1.0986122886681098,7.346010209913293
32,1,1,41.0,1287.0,183,4.092205188560019,-0.10536051565782628,7.158513997329321
78,0,0,10.0,1203.0,91,1.9726568672502656,0.6931471805599453,7.313220387090301
32,1,1,41.0,1236.0,183,4.023253232654143,1.0986122886681098,7.21890970761906
78,1,1,10.0,1033.0,91,4.041205908486557,1.3862943611198906,7.346010209913293
32,1,1,41.0,1218.0,183,4.089134815360281,0.6931471805599453,7.247792581767846
30,1,1,41.0,1167.49,153,7.97556315660339,-1.1394342831883648,6.96979066990159
32,1,1,41.0,1277.0,183,4.02909342474492,0.1823215567939546,6.956545443151569
78,1,1,10.0,1043.0,91,4.076427563809828,1.8484548129046001,7.346010209913293
32,1,1,41.0,1290.0,183,3.9608939495728834,-0.10536051565782628,6.937314081223682
30,1,1,41.0,1161.27,153,4.650913446390368,-1.1394342831883648,6.96979066990159
32,1,1,41.0,1282.0,183,4.007729137923766,-0.10536051565782628,7.158513997329321
78,1,1,10.0,1042.0,91,4.059155679705316,1.9459101490553132,7.346010209913293
32,1,1,41.0,1237.0,183,4.027000586451971,1.0986122886681098,7.133295954896068
28,1,0,10.0,1028.0,122,5.340568369788802,0.9162907318741551,7.313220387090301
32,1,1,41.0,1218.0,183,4.062224833880091,0.6931471805599453,7.162397497355718
78,1,1,10.0,1037.0,91,3.9966754965661972,2.0794415416798357,7.346010209913293
32,1,1,41.0,1273.0,183,4.063919174784044,0.1823215567939546,7.27931883541462
28,1,0,10.0,1025.0,122,5.70999631967104,1.0986122886681098,7.003065458786462
